concept_id,description,battery_kwh,motor_kw,mass_kg,max_speed_kmh,CdA,Crr,feasibility_score,estimated_range_km,energy_per_km_kwh,P_battery_kw,wet_braking_distance_m,range_score,braking_score,mass_score,motor_adequacy_score,total_score,decision
C1,Campus-focused lightweight EV,6,8,520,30,0.75,0.012,8,98.7130373874608,0.054704020288671,1.3128964869281,9.53216043090321,6.87298311523654,10,10,6.66666666666667,7.9952282679043,Not selected
C2,Balanced low-speed urban EV,9,12,650,45,0.8,0.013,9,125.719716195944,0.0644290350399419,1.54629684095861,20.1973609695322,8.75334717212146,4.71950788287762,8,10,8.16990572821196,Selected
C3,Extended urban EV,12,18,780,50,0.85,0.014,7,143.624734314604,0.0751959615559187,1.80470307734205,24.6263715673237,10,3.87071250218252,6.66666666666667,5,6.84080916710317,Not selected
