scenario_id,scenario_family,ego_speed_kmh,target_distance_m,relative_speed_kmh,road_condition,mu,actuator_delay_s,target_type,expected_state,odd_status,stopping_distance_m,ttc_s,calculated_state,brake_request,verification_result,verification_comment
P-SCN-029,NORMAL_FOLLOWING,20,25,5,dry,0.75,0.2,lead_vehicle,SAFE,inside_ODD,3.209,18,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-030,CLOSE_TARGET,20,5,5,dry,0.75,0.2,lead_vehicle,CAUTION,inside_ODD,3.209,3.6,CAUTION,0,Pass,Calculated state matches expected state.
P-SCN-031,HIGH_CLOSING_RISK,20,4,8,dry,0.75,0.2,lead_vehicle,WARNING,inside_ODD,3.209,1.8,WARNING,0,Pass,Calculated state matches expected state.
P-SCN-032,SUDDEN_OBSTACLE,20,3,20,dry,0.75,0.2,stationary_obstacle,EMERGENCY_BRAKE,inside_ODD,3.209,0.54,EMERGENCY_BRAKE,1,Pass,Calculated state matches expected state.
P-SCN-033,NORMAL_FOLLOWING,20,25,5,dry,0.75,0.3,lead_vehicle,SAFE,inside_ODD,3.764,18,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-034,CLOSE_TARGET,20,5,5,dry,0.75,0.3,lead_vehicle,CAUTION,inside_ODD,3.764,3.6,CAUTION,0,Pass,Calculated state matches expected state.
P-SCN-035,HIGH_CLOSING_RISK,20,4,8,dry,0.75,0.3,lead_vehicle,WARNING,inside_ODD,3.764,1.8,WARNING,0,Pass,Calculated state matches expected state.
P-SCN-036,SUDDEN_OBSTACLE,20,3,20,dry,0.75,0.3,stationary_obstacle,EMERGENCY_BRAKE,inside_ODD,3.764,0.54,EMERGENCY_BRAKE,1,Pass,Calculated state matches expected state.
P-SCN-037,NORMAL_FOLLOWING,20,25,5,wet,0.45,0.1,lead_vehicle,SAFE,inside_ODD,4.051,18,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-038,CLOSE_TARGET,20,5,5,wet,0.45,0.1,lead_vehicle,CAUTION,inside_ODD,4.051,3.6,CAUTION,0,Pass,Calculated state matches expected state.
